60# Number of electrodes
# x z
0.000     0.000
1.000     0.000
2.000     0.000
3.000     0.000
4.000     0.000
5.000     0.000
6.000     0.000
7.000     0.000
8.000     0.000
9.000     0.000
10.000     0.000
11.000     0.000
12.000     0.000
13.000     0.000
14.000     0.000
15.000     0.000
16.000     0.000
17.000     0.000
18.000     0.000
19.000     0.000
20.000     0.000
21.000     0.000
22.000     0.000
23.000     0.000
24.000     0.000
25.000     0.000
26.000     0.000
27.000     0.000
28.000     0.000
29.000     0.000
30.000     0.000
31.000     0.000
32.000     0.000
33.000     0.000
34.000     0.000
35.000     0.000
36.000     0.000
37.000     0.000
38.000     0.000
39.000     0.000
40.000     0.000
41.000     0.000
42.000     0.000
43.000     0.000
44.000     0.000
45.000     0.000
46.000     0.000
47.000     0.000
48.000     0.000
49.000     0.000
50.000     0.000
51.000     0.000
52.000     0.000
53.000     0.000
54.000     0.000
55.000     0.000
56.000     0.000
57.000     0.000
58.000     0.000
59.000     0.000
1350# Number of data
# a b m n rhoa
29 53 37 45 76.664
30 54 38 46 74.976
31 55 39 47 75.643
32 56 40 48 75.153
33 57 41 49 72.662
34 58 42 50 74.512
35 59 43 51 71.667
36 60 44 52 73.665
1 28 10 19 94.668
2 29 11 20 91.245
3 30 12 21 99.106
4 31 13 22 96.692
5 32 14 23 95.253
6 33 15 24 93.625
7 34 16 25 90.288
8 35 17 26 87.324
9 36 18 27 84.227
10 37 19 28 85.104
11 38 20 29 80.541
12 39 21 30 74.555
13 40 22 31 74.312
14 41 23 32 77.083
15 42 24 33 77.170
16 43 25 34 79.057
17 44 26 35 82.224
18 45 27 36 85.800
19 46 28 37 82.211
20 47 29 38 79.091
21 48 30 39 76.930
22 49 31 40 73.709
23 50 32 41 69.979
24 51 33 42 65.792
25 52 34 43 66.950
26 53 35 44 65.241
27 54 36 45 64.840
28 55 37 46 67.567
29 56 38 47 69.324
30 57 39 48 66.606
31 58 40 49 66.592
32 59 41 50 68.155
33 60 42 51 67.522
1 31 11 21 82.996
2 32 12 22 82.582
3 33 13 23 83.044
4 34 14 24 82.488
5 35 15 25 81.611
6 36 16 26 78.752
7 37 17 27 76.829
8 38 18 28 77.105
9 39 19 29 76.872
10 40 20 30 74.058
11 41 21 31 71.574
12 42 22 32 69.438
13 43 23 33 68.013
14 44 24 34 69.485
15 45 25 35 69.267
16 46 26 36 72.567
17 47 27 37 74.682
18 48 28 38 71.436
19 49 29 39 70.039
20 50 30 40 70.287
21 51 31 41 66.261
22 52 32 42 64.536
23 53 33 43 63.873
24 54 34 44 60.426
25 55 35 45 64.417
26 56 36 46 63.093
27 57 37 47 62.799
28 58 38 48 65.024
29 59 39 49 62.270
30 60 40 50 62.494
1 34 12 23 76.683
2 35 13 24 74.752
3 36 14 25 75.574
4 37 15 26 74.541
5 38 16 27 71.396
6 39 17 28 71.852
7 40 18 29 71.246
8 41 19 30 71.157
9 42 20 31 70.300
10 43 21 32 68.431
11 44 22 33 65.607
12 45 23 34 63.576
13 46 24 35 61.903
14 47 25 36 64.224
15 48 26 37 65.521
16 49 27 38 67.589
17 50 28 39 66.460
18 51 29 40 64.941
19 52 30 41 63.336
20 53 31 42 61.497
21 54 32 43 61.658
22 55 33 44 60.621
23 56 34 45 61.602
24 57 35 46 60.660
25 58 36 47 61.212
26 59 37 48 61.623
27 60 38 49 62.160
1 37 13 25 71.399
2 38 14 26 69.807
3 39 15 27 68.444
4 40 16 28 68.522
5 41 17 29 68.351
6 42 18 30 66.957
7 43 19 31 67.856
8 44 20 32 66.109
9 45 21 33 63.728
10 46 22 34 62.858
11 47 23 35 61.265
12 48 24 36 59.284
13 49 25 37 59.261
14 50 26 38 61.956
15 51 27 39 62.958
16 52 28 40 61.633
17 53 29 41 60.382
18 54 30 42 60.882
19 55 31 43 59.558
20 56 32 44 58.602
21 57 33 45 58.902
22 58 34 46 59.310
23 59 35 47 60.274
24 60 36 48 58.661
1 40 14 27 66.284
2 41 15 28 66.347
3 42 16 29 65.125
4 43 17 30 65.505
5 44 18 31 64.694
6 45 19 32 63.970
7 46 20 33 62.370
8 47 21 34 59.953
9 48 22 35 58.720
10 49 23 36 60.412
11 50 24 37 58.645
12 51 25 38 57.021
13 52 26 39 61.812
14 53 27 40 60.042
15 54 28 41 58.367
16 55 29 42 57.827
17 56 30 43 58.520
18 57 31 44 57.049
19 58 32 45 57.381
20 59 33 46 58.447
21 60 34 47 58.887
1 43 15 29 64.484
2 44 16 30 62.705
3 45 17 31 61.833
4 46 18 32 62.174
5 47 19 33 60.732
6 48 20 34 58.934
7 49 21 35 57.444
8 50 22 36 56.604
9 51 23 37 56.805
10 52 24 38 55.928
11 53 25 39 59.826
12 54 26 40 58.021
13 55 27 41 59.917
14 56 28 42 56.880
15 57 29 43 56.236
16 58 30 44 56.357
17 59 31 45 55.966
18 60 32 46 56.462
1 46 16 31 60.873
2 47 17 32 59.438
3 48 18 33 58.913
4 49 19 34 58.743
5 50 20 35 56.840
6 51 21 36 55.590
7 52 22 37 55.307
8 53 23 38 55.309
9 54 24 39 56.050
10 55 25 40 56.780
11 56 26 41 57.765
12 57 27 42 56.369
13 58 28 43 53.478
14 59 29 44 54.797
15 60 30 45 55.847
1 49 17 33 58.081
2 50 18 34 57.065
3 51 19 35 56.203
4 52 20 36 55.209
5 53 21 37 54.642
6 54 22 38 53.988
7 55 23 39 54.421
8 56 24 40 55.008
9 57 25 41 54.895
10 58 26 42 56.829
11 59 27 43 57.392
12 60 28 44 54.572
1 52 18 35 55.763
2 53 19 36 55.088
3 54 20 37 54.382
4 55 21 38 53.798
5 56 22 39 53.332
6 57 23 40 53.342
7 58 24 41 53.861
8 59 25 42 54.215
9 60 26 43 55.742
1 55 19 37 54.955
2 56 20 38 53.726
3 57 21 39 53.319
4 58 22 40 53.414
5 59 23 41 52.996
6 60 24 42 53.536
1 58 20 39 54.002
2 59 21 40 52.986
3 60 22 41 52.480
1 2 4 3 3716.190
2 3 5 4 5286.273
3 4 6 5 4086.554
4 5 7 6 4810.081
5 6 8 7 4035.508
6 7 9 8 4040.787
7 8 10 9 3850.947
8 9 11 10 2484.077
9 10 12 11 2076.717
10 11 13 12 2187.667
11 12 14 13 1943.988
12 13 15 14 2691.021
13 14 16 15 3651.456
14 15 17 16 3097.203
15 16 18 17 3410.648
16 17 19 18 2835.872
17 18 20 19 2674.571
18 19 21 20 2704.470
19 20 22 21 2391.739
20 21 23 22 2204.969
21 22 24 23 2310.086
22 23 25 24 1530.813
23 24 26 25 992.399
24 25 27 26 1154.707
25 26 28 27 1232.306
26 27 29 28 1336.739
27 28 30 29 1651.680
28 29 31 30 1657.808
29 30 32 31 1593.478
30 31 33 32 1871.425
31 32 34 33 1874.609
32 33 35 34 1344.215
33 34 36 35 2398.172
34 35 37 36 1883.013
35 36 38 37 2090.438
36 37 39 38 2184.343
37 38 40 39 2132.205
38 39 41 40 1767.530
39 40 42 41 1943.634
40 41 43 42 2187.914
41 42 44 43 2214.628
42 43 45 44 2914.630
43 44 46 45 2549.748
44 45 47 46 3231.143
45 46 48 47 3535.414
46 47 49 48 2670.729
47 48 50 49 3276.224
48 49 51 50 3526.129
49 50 52 51 3137.398
50 51 53 52 2774.305
51 52 54 53 3225.402
52 53 55 54 2570.850
53 54 56 55 1829.003
54 55 57 56 2595.967
55 56 58 57 2311.136
56 57 59 58 1945.299
57 58 60 59 1964.440
1 2 5 4 3043.514
2 3 6 5 4061.711
3 4 7 6 4172.384
4 5 8 7 3684.832
5 6 9 8 3799.253
6 7 10 9 3908.177
7 8 11 10 2758.834
8 9 12 11 2378.901
9 10 13 12 3424.087
10 11 14 13 2343.357
11 12 15 14 2536.213
12 13 16 15 3038.664
13 14 17 16 3103.335
14 15 18 17 2728.231
15 16 19 18 2662.724
16 17 20 19 2735.742
17 18 21 20 2629.296
18 19 22 21 2165.854
19 20 23 22 2203.714
20 21 24 23 2366.054
21 22 25 24 1861.833
22 23 26 25 1240.682
23 24 27 26 1251.270
24 25 28 27 1946.431
25 26 29 28 1487.107
26 27 30 29 1319.040
27 28 31 30 1924.501
28 29 32 31 1532.888
29 30 33 32 1622.892
30 31 34 33 1966.055
31 32 35 34 1629.105
32 33 36 35 1689.452
33 34 37 36 2058.801
34 35 38 37 1878.430
35 36 39 38 2107.496
36 37 40 39 2114.992
37 38 41 40 1504.637
38 39 42 41 1585.972
39 40 43 42 1783.677
40 41 44 43 1487.268
41 42 45 44 2206.490
42 43 46 45 2108.950
43 44 47 46 1866.760
44 45 48 47 2437.886
45 46 49 48 1774.270
46 47 50 49 1768.813
47 48 51 50 2222.482
48 49 52 51 1795.380
49 50 53 52 1587.741
50 51 54 53 1702.712
51 52 55 54 1381.384
52 53 56 55 1131.896
53 54 57 56 1292.576
54 55 58 57 923.694
55 56 59 58 1297.983
56 57 60 59 886.365
1 2 6 5 1795.399
2 3 7 6 3205.577
3 4 8 7 2432.555
4 5 9 8 2730.440
5 6 10 9 2816.484
6 7 11 10 2174.476
7 8 12 11 1966.227
8 9 13 12 3051.122
9 10 14 13 2781.140
10 11 15 14 2273.708
11 12 16 15 2003.324
12 13 17 16 1987.958
13 14 18 17 2120.261
14 15 19 18 1735.295
15 16 20 19 1981.826
16 17 21 20 2048.620
17 18 22 21 1609.946
18 19 23 22 1504.407
19 20 24 23 1782.542
20 21 25 24 1527.123
21 22 26 25 1154.790
22 23 27 26 1280.621
23 24 28 27 1568.570
24 25 29 28 1723.070
25 26 30 29 1137.214
26 27 31 30 1206.595
27 28 32 31 1447.670
28 29 33 32 1223.140
29 30 34 33 1351.313
30 31 35 34 1359.547
31 32 36 35 1585.546
32 33 37 36 1247.215
33 34 38 37 1577.818
34 35 39 38 1456.020
35 36 40 39 1589.041
36 37 41 40 1167.530
37 38 42 41 1134.246
38 39 43 42 1315.037
39 40 44 43 1035.619
40 41 45 44 1212.296
41 42 46 45 1276.069
42 43 47 46 1279.506
43 44 48 47 1191.609
44 45 49 48 1040.166
45 46 50 49 999.273
46 47 51 50 1076.598
47 48 52 51 1016.980
48 49 53 52 798.388
49 50 54 53 869.820
50 51 55 54 741.470
51 52 56 55 595.844
52 53 57 56 748.725
53 54 58 57 484.000
54 55 59 58 585.884
55 56 60 59 584.129
1 2 7 6 1273.864
2 3 8 7 1652.684
3 4 9 8 1645.039
4 5 10 9 1789.453
5 6 11 10 1408.054
6 7 12 11 1386.332
7 8 13 12 2198.288
8 9 14 13 2179.665
9 10 15 14 2302.239
10 11 16 15 1585.351
11 12 17 16 1129.644
12 13 18 17 1210.036
13 14 19 18 1215.540
14 15 20 19 1173.898
15 16 21 20 1327.770
16 17 22 21 1114.114
17 18 23 22 1003.588
18 19 24 23 1052.773
19 20 25 24 1029.441
20 21 26 25 844.659
21 22 27 26 1032.324
22 23 28 27 1368.818
23 24 29 28 1202.522
24 25 30 29 1166.360
25 26 31 30 930.608
26 27 32 31 823.760
27 28 33 32 1032.277
28 29 34 33 932.754
29 30 35 34 857.120
30 31 36 35 1177.754
31 32 37 36 1074.699
32 33 38 37 887.980
33 34 39 38 1096.046
34 35 40 39 986.848
35 36 41 40 805.126
36 37 42 41 819.223
37 38 43 42 878.367
38 39 44 43 734.078
39 40 45 44 803.074
40 41 46 45 682.017
41 42 47 46 737.098
42 43 48 47 789.539
43 44 49 48 517.082
44 45 50 49 591.091
45 46 51 50 611.057
46 47 52 51 525.582
47 48 53 52 486.262
48 49 54 53 458.436
49 50 55 54 436.081
50 51 56 55 369.221
51 52 57 56 447.047
52 53 58 57 327.692
53 54 59 58 358.470
54 55 60 59 345.705
1 2 8 7 635.720
2 3 9 8 1074.754
3 4 10 9 1019.204
4 5 11 10 852.621
5 6 12 11 843.913
6 7 13 12 1437.594
7 8 14 13 1483.340
8 9 15 14 1656.151
9 10 16 15 1473.451
10 11 17 16 856.604
11 12 18 17 646.432
12 13 19 18 677.743
13 14 20 19 809.534
14 15 21 20 762.416
15 16 22 21 696.205
16 17 23 22 664.810
17 18 24 23 666.906
18 19 25 24 590.012
19 20 26 25 588.147
20 21 27 26 717.642
21 22 28 27 1028.522
22 23 29 28 959.498
23 24 30 29 762.803
24 25 31 30 892.412
25 26 32 31 607.380
26 27 33 32 556.034
27 28 34 33 750.116
28 29 35 34 579.596
29 30 36 35 704.522
30 31 37 36 762.325
31 32 38 37 729.913
32 33 39 38 602.549
33 34 40 39 709.146
34 35 41 40 479.865
35 36 42 41 553.966
36 37 43 42 613.518
37 38 44 43 478.472
38 39 45 44 561.194
39 40 46 45 460.541
40 41 47 46 407.439
41 42 48 47 467.319
42 43 49 48 366.685
43 44 50 49 317.422
44 45 51 50 388.245
45 46 52 51 325.678
46 47 53 52 282.954
47 48 54 53 313.262
48 49 55 54 267.872
49 50 56 55 242.017
50 51 57 56 305.286
51 52 58 57 233.229
52 53 59 58 264.481
53 54 60 59 235.334
1 3 9 7 1110.648
2 4 10 8 1230.065
3 5 11 9 1211.158
4 6 12 10 1021.688
5 7 13 11 1198.451
6 8 14 12 1682.506
7 9 15 13 1742.416
8 10 16 14 1782.733
9 11 17 15 1278.161
10 12 18 16 865.407
11 13 19 17 837.386
12 14 20 18 891.617
13 15 21 19 897.354
14 16 22 20 921.400
15 17 23 21 815.418
