48# Number of electrodes
# x z
0.000     0.000
2.000     0.000
4.000     0.000
6.000     0.000
8.000     0.000
10.000     0.000
12.000     0.000
14.000     0.000
16.000     0.000
18.000     0.000
20.000     0.000
22.000     0.000
24.000     0.000
26.000     0.000
28.000     0.000
30.000     0.000
32.000     0.000
34.000     0.000
36.000     0.000
38.000     0.000
40.000     0.000
42.000     0.000
44.000     0.000
46.000     0.000
48.000     0.000
50.000     0.000
52.000     0.000
54.000     0.000
56.000     0.000
58.000     0.000
60.000     0.000
62.000     0.000
64.000     0.000
66.000     0.000
68.000     0.000
70.000     0.000
72.000     0.000
74.000     0.000
76.000     0.000
78.000     0.000
80.000     0.000
82.000     0.000
84.000     0.000
86.000     0.000
88.000     0.000
90.000     0.000
92.000     0.000
94.000     0.000
909# Number of data
# a b m n rhoa
2 32 12 22 18.798
3 33 13 23 19.632
4 34 14 24 20.535
5 35 15 25 20.892
6 36 16 26 21.301
7 37 17 27 21.677
8 38 18 28 21.122
9 39 19 29 21.198
10 40 20 30 21.557
11 41 21 31 21.707
12 42 22 32 22.008
13 43 23 33 21.768
14 44 24 34 21.521
15 45 25 35 20.769
16 46 26 36 20.711
17 47 27 37 19.838
18 48 28 38 19.261
1 34 12 23 19.763
2 35 13 24 20.561
3 36 14 25 21.509
4 37 15 26 21.769
5 38 16 27 22.173
6 39 17 28 22.506
7 40 18 29 22.818
8 41 19 30 22.258
9 42 20 31 22.101
10 43 21 32 21.870
11 44 22 33 22.263
12 45 23 34 22.116
13 46 24 35 21.795
14 47 25 36 20.915
15 48 26 37 20.626
1 37 13 25 22.153
2 38 14 26 22.356
3 39 15 27 22.641
4 40 16 28 23.507
5 41 17 29 23.921
6 42 18 30 23.708
7 43 19 31 24.035
8 44 20 32 22.412
9 45 21 33 22.162
10 46 22 34 23.040
11 47 23 35 23.293
12 48 24 36 22.585
1 40 14 27 23.572
2 41 15 28 24.959
3 42 16 29 25.059
4 43 17 30 23.955
5 44 18 31 24.785
6 45 19 32 23.877
7 46 20 33 23.937
8 47 21 34 23.200
9 48 22 35 23.767
1 43 15 29 26.780
2 44 16 30 25.122
3 45 17 31 26.330
4 46 18 32 25.075
5 47 19 33 25.719
6 48 20 34 25.348
1 46 16 31 26.455
2 47 17 32 26.071
3 48 18 33 26.892
1 2 4 3 43.352
2 3 5 4 34.375
3 4 6 5 42.768
4 5 7 6 40.464
5 6 8 7 57.997
6 7 9 8 61.479
7 8 10 9 53.441
8 9 11 10 71.342
9 10 12 11 72.037
10 11 13 12 77.581
11 12 14 13 99.495
12 13 15 14 64.022
13 14 16 15 115.191
14 15 17 16 121.435
15 16 18 17 156.278
16 17 19 18 116.523
17 18 20 19 154.217
18 19 21 20 130.867
19 20 22 21 142.805
20 21 23 22 139.810
21 22 24 23 180.419
22 23 25 24 148.987
23 24 26 25 191.686
24 25 27 26 192.033
25 26 28 27 181.636
26 27 29 28 140.948
27 28 30 29 156.288
28 29 31 30 151.194
29 30 32 31 120.364
30 31 33 32 93.790
31 32 34 33 96.677
32 33 35 34 83.082
33 34 36 35 85.698
34 35 37 36 156.698
35 36 38 37 113.645
36 37 39 38 104.527
37 38 40 39 38.639
38 39 41 40 61.044
39 40 42 41 48.390
40 41 43 42 41.522
41 42 44 43 53.060
42 43 45 44 60.431
43 44 46 45 44.310
44 45 47 46 50.141
45 46 48 47 37.113
1 2 5 4 27.375
2 3 6 5 27.586
3 4 7 6 27.457
4 5 8 7 27.895
5 6 9 8 31.229
6 7 10 9 38.182
7 8 11 10 39.406
8 9 12 11 41.368
9 10 13 12 40.962
10 11 14 13 69.403
11 12 15 14 68.825
12 13 16 15 45.984
13 14 17 16 63.524
14 15 18 17 75.687
15 16 19 18 80.306
16 17 20 19 78.949
17 18 21 20 96.750
18 19 22 21 72.747
19 20 23 22 89.980
20 21 24 23 102.162
21 22 25 24 105.120
22 23 26 25 124.610
23 24 27 26 166.817
24 25 28 27 165.819
25 26 29 28 124.093
26 27 30 29 106.560
27 28 31 30 101.667
28 29 32 31 81.043
29 30 33 32 56.601
30 31 34 33 55.663
31 32 35 34 52.363
32 33 36 35 38.990
33 34 37 36 57.605
34 35 38 37 94.241
35 36 39 38 66.135
36 37 40 39 31.391
37 38 41 40 24.049
38 39 42 41 25.825
39 40 43 42 26.560
40 41 44 43 26.140
41 42 45 44 32.756
42 43 46 45 26.026
43 44 47 46 29.426
44 45 48 47 28.148
1 2 6 5 22.252
2 3 7 6 22.537
3 4 8 7 22.667
4 5 9 8 19.043
5 6 10 9 22.577
6 7 11 10 28.808
7 8 12 11 26.769
8 9 13 12 25.716
9 10 14 13 40.753
10 11 15 14 47.644
11 12 16 15 49.514
12 13 17 16 30.612
13 14 18 17 44.998
14 15 19 18 42.961
15 16 20 19 58.524
16 17 21 20 54.413
17 18 22 21 55.829
18 19 23 22 48.809
19 20 24 23 69.084
20 21 25 24 66.226
21 22 26 25 84.420
22 23 27 26 102.266
23 24 28 27 135.549
24 25 29 28 107.769
25 26 30 29 89.488
26 27 31 30 72.747
27 28 32 31 62.456
28 29 33 32 42.598
29 30 34 33 41.968
30 31 35 34 39.834
31 32 36 35 34.329
32 33 37 36 32.702
33 34 38 37 42.778
34 35 39 38 52.949
35 36 40 39 25.905
36 37 41 40 21.050
37 38 42 41 19.419
38 39 43 42 23.309
39 40 44 43 23.290
40 41 45 44 26.182
41 42 46 45 21.635
42 43 47 46 29.621
43 44 48 47 24.507
1 2 7 6 19.664
2 3 8 7 22.485
3 4 9 8 18.667
4 5 10 9 16.904
5 6 11 10 20.204
6 7 12 11 22.161
7 8 13 12 18.688
8 9 14 13 29.401
9 10 15 14 32.782
10 11 16 15 40.296
11 12 17 16 36.819
12 13 18 17 28.111
13 14 19 18 31.909
14 15 20 19 37.592
15 16 21 20 46.248
16 17 22 21 40.965
17 18 23 22 44.312
18 19 24 23 45.292
19 20 25 24 51.023
20 21 26 25 60.628
21 22 27 26 74.394
22 23 28 27 87.403
23 24 29 28 92.524
24 25 30 29 75.523
25 26 31 30 59.853
26 27 32 31 47.238
27 28 33 32 48.659
28 29 34 33 50.616
29 30 35 34 42.823
30 31 36 35 31.164
31 32 37 36 35.255
32 33 38 37 29.390
33 34 39 38 42.200
34 35 40 39 37.306
35 36 41 40 20.905
36 37 42 41 22.199
37 38 43 42 19.588
38 39 44 43 24.075
39 40 45 44 20.297
40 41 46 45 20.469
41 42 47 46 24.685
42 43 48 47 21.790
1 2 8 7 21.892
2 3 9 8 21.056
3 4 10 9 18.227
4 5 11 10 16.050
5 6 12 11 16.712
6 7 13 12 16.736
7 8 14 13 26.761
8 9 15 14 25.162
9 10 16 15 30.641
10 11 17 16 32.781
11 12 18 17 35.994
12 13 19 18 23.114
13 14 20 19 33.807
14 15 21 20 34.811
15 16 22 21 38.963
16 17 23 22 33.826
17 18 24 23 50.522
18 19 25 24 42.943
19 20 26 25 51.604
20 21 27 26 57.521
21 22 28 27 67.591
22 23 29 28 63.437
23 24 30 29 70.829
24 25 31 30 61.287
25 26 32 31 52.375
26 27 33 32 31.005
27 28 34 33 24.856
28 29 35 34 40.988
29 30 36 35 33.776
30 31 37 36 27.698
31 32 38 37 27.041
32 33 39 38 23.740
33 34 40 39 -4.119
34 35 41 40 20.051
35 36 42 41 22.594
36 37 43 42 25.133
37 38 44 43 19.760
38 39 45 44 25.838
39 40 46 45 17.834
40 41 47 46 21.288
41 42 48 47 23.985
1 3 9 7 21.360
2 4 10 8 19.617
3 5 11 9 17.354
4 6 12 10 17.877
5 7 13 11 18.254
6 8 14 12 20.231
7 9 15 13 26.886
8 10 16 14 29.164
9 11 17 15 33.948
10 12 18 16 35.229
11 13 19 17 28.919
12 14 20 18 29.357
13 15 21 19 35.378
14 16 22 20 39.583
15 17 23 21 38.061
16 18 24 22 42.239
17 19 25 23 45.179
18 20 26 24 48.288
19 21 27 25 56.543
20 22 28 26 66.298
21 23 29 27 72.203
22 24 30 28 74.845
23 25 31 29 68.448
24 26 32 30 56.004
25 27 33 31 45.343
26 28 34 32 41.347
27 29 35 33 41.826
28 30 36 34 38.647
29 31 37 35 32.172
30 32 38 36 32.014
31 33 39 37 25.923
32 34 40 38 23.369
33 35 41 39 23.782
34 36 42 40 22.985
35 37 43 41 23.328
36 38 44 42 21.990
37 39 45 43 23.326
38 40 46 44 21.358
39 41 47 45 20.511
40 42 48 46 23.520
1 3 11 9 21.811
2 4 12 10 20.514
3 5 13 11 15.809
4 6 14 12 14.068
5 7 15 13 18.510
6 8 16 14 21.006
7 9 17 15 23.491
8 10 18 16 25.684
9 11 19 17 29.657
10 12 20 18 30.053
11 13 21 19 26.949
12 14 22 20 26.584
13 15 23 21 27.763
14 16 24 22 33.824
15 17 25 23 41.559
16 18 26 24 44.055
17 19 27 25 42.472
18 20 28 26 45.972
19 21 29 27 47.237
20 22 30 28 44.226
21 23 31 29 42.597
22 24 32 30 45.254
23 25 33 31 40.255
24 26 34 32 36.876
25 27 35 33 40.009
26 28 36 34 39.935
27 29 37 35 34.395
28 30 38 36 31.961
29 31 39 37 30.575
30 32 40 38 22.832
31 33 41 39 19.317
32 34 42 40 21.329
33 35 43 41 20.692
34 36 44 42 26.255
35 37 45 43 23.443
36 38 46 44 21.447
37 39 47 45 22.291
38 40 48 46 20.851
1 3 13 11 20.613
2 4 14 12 17.430
3 5 15 13 14.175
4 6 16 14 14.887
5 7 17 15 14.591
6 8 18 16 18.660
7 9 19 17 18.964
8 10 20 18 21.193
9 11 21 19 26.290
10 12 22 20 27.273
11 13 23 21 22.033
12 14 24 22 24.265
13 15 25 23 31.381
14 16 26 24 32.297
15 17 27 25 39.690
16 18 28 26 39.466
17 19 29 27 35.045
18 20 30 28 31.658
19 21 31 29 30.129
20 22 32 30 28.368
21 23 33 31 27.463
22 24 34 32 31.164
23 25 35 33 44.937
24 26 36 34 39.617
25 27 37 35 30.889
26 28 38 36 32.126
27 29 39 37 28.841
28 30 40 38 27.095
29 31 41 39 16.763
30 32 42 40 18.283
31 33 43 41 26.579
32 34 44 42 4.394
33 35 45 43 24.598
34 36 46 44 20.345
35 37 47 45 17.999
36 38 48 46 21.118
1 3 15 13 18.719
2 4 16 14 20.003
3 5 17 15 12.714
4 6 18 16 14.482
5 7 19 17 20.325
6 8 20 18 15.596
7 9 21 19 20.399
8 10 22 20 19.433
9 11 23 21 21.017
10 12 24 22 26.052
11 13 25 23 19.783
12 14 26 24 27.345
13 15 27 25 28.377
14 16 28 26 30.050
15 17 29 27 30.063
16 18 30 28 26.469
17 19 31 29 20.768
18 20 32 30 20.541
19 21 33 31 19.264
20 22 34 32 20.373
21 23 35 33 26.220
22 24 36 34 31.665
23 25 37 35 22.864
24 26 38 36 29.371
25 27 39 37 30.886
26 28 40 38 22.215
27 29 41 39 17.026
28 30 42 40 8.920
29 31 43 41 21.655
30 32 44 42 11.200
31 33 45 43 16.351
32 34 46 44 34.734
33 35 47 45 20.763
34 36 48 46 20.283
1 4 16 13 18.402
2 5 17 14 15.560
3 6 18 15 15.019
4 7 19 16 15.564
5 8 20 17 17.892
6 9 21 18 18.274
7 10 22 19 20.186
8 11 23 20 21.705
9 12 24 21 23.937
10 13 25 22 21.161
11 14 26 23 25.000
12 15 27 24 26.891
13 16 28 25 30.482
14 17 29 26 30.993
15 18 30 27 30.075
16 19 31 28 24.999
17 20 32 29 22.911
18 21 33 30 19.577
19 22 34 31 21.538
20 23 35 32 23.370
21 24 36 33 29.304
22 25 37 34 29.389
23 26 38 35 29.962
24 27 39 36 28.184
25 28 40 37 26.906
26 29 41 38 21.387
27 30 42 39 23.922
28 31 43 40 19.190
29 32 44 41 31.520
30 33 45 42 14.517
31 34 46 43 17.381
32 35 47 44 24.176
33 36 48 45 20.946
1 4 19 16 18.341
2 5 20 17 14.372
3 6 21 18 12.156
4 7 22 19 10.432
5 8 23 20 14.771
6 9 24 21 16.200
7 10 25 22 10.627
8 11 26 23 24.114
9 12 27 24 20.266
10 13 28 25 19.284
11 14 29 26 19.598
12 15 30 27 18.795
13 16 31 28 18.014
14 17 32 29 17.263
15 18 33 30 15.463
16 19 34 31 13.789
17 20 35 32 14.581
18 21 36 33 19.272
19 22 37 34 17.942
20 23 38 35 16.987
21 24 39 36 16.096
22 25 40 37 17.317
23 26 41 38 10.921
24 27 42 39 16.082
25 28 43 40 14.074
26 29 44 41 5.157
27 30 45 42 26.003
28 31 46 43 16.263
29 32 47 44 3.425
30 33 48 45 10.025
1 4 22 19 13.598
2 5 23 20 11.416
3 6 24 21 10.704
4 7 25 22 21.740
5 8 26 23 -7.893
6 9 27 24 0.293
7 10 28 25 11.440
8 11 29 26 18.106
9 12 30 27 17.087
10 13 31 28 12.255
11 14 32 29 12.176
12 15 33 30 10.147
13 16 34 31 12.326
14 17 35 32 11.939
15 18 36 33 16.562
16 19 37 34 13.015
17 20 38 35 11.836
18 21 39 36 11.242
19 22 40 37 15.034
20 23 41 38 10.870
21 24 42 39 19.301
22 25 43 40 4.235
23 26 44 41 18.874
24 27 45 42 9.856
25 28 46 43 13.712
26 29 47 44 31.533
27 30 48 45 21.003
1 5 25 21 24.924
2 6 26 22 22.632
3 7 27 23 28.362
4 8 28 24 7.868
5 9 29 25 8.366
6 10 30 26 11.165
7 11 31 27 13.421
8 12 32 28 12.966
9 13 33 29 10.723
10 14 34 30 10.682
11 15 35 31 10.584
12 16 36 32 11.225
13 17 37 33 12.975
14 18 38 34 13.065
15 19 39 35 9.663
16 20 40 36 10.707
17 21 41 37 10.857
18 22 42 38 11.123
19 23 43 39 11.292
20 24 44 40 9.428
21 25 45 41 13.005
22 26 46 42 20.846
23 27 47 43 20.731
24 28 48 44 23.313
1 5 29 25 26.622
2 6 30 26 18.166
3 7 31 27 15.781
4 8 32 28 9.208
5 9 33 29 10.007
6 10 34 30 8.086
7 11 35 31 11.020
8 12 36 32 10.369
9 13 37 33 11.259
10 14 38 34 8.624
11 15 39 35 10.781
12 16 40 36 10.436
13 17 41 37 8.086
14 18 42 38 10.313
15 19 43 39 10.777
16 20 44 40 9.553
17 21 45 41 17.470
18 22 46 42 12.287
19 23 47 43 9.099
20 24 48 44 21.185
1 6 31 26 14.293
2 7 32 27 14.967
3 8 33 28 9.048
4 9 34 29 8.731
5 10 35 30 7.510
6 11 36 31 9.470
7 12 37 32 10.639
8 13 38 33 10.774
9 14 39 34 10.651
10 15 40 35 10.224
11 16 41 36 9.111
12 17 42 37 9.613
13 18 43 38 12.071
14 19 44 39 9.372
15 20 45 40 9.553
16 21 46 41 16.037
17 22 47 42 9.824
18 23 48 43 12.953
1 6 36 31 11.334
2 7 37 32 11.493
3 8 38 33 10.688
4 9 39 34 12.122
5 10 40 35 13.907
6 11 41 36 10.648
7 12 42 37 10.543
8 13 43 38 10.019
9 14 44 39 9.184
10 15 45 40 9.725
11 16 46 41 12.051
12 17 47 42 11.704
13 18 48 43 12.984
1 7 37 31 12.785
2 8 38 32 9.790
3 9 39 33 10.990
4 10 40 34 8.966
5 11 41 35 10.170
6 12 42 36 10.725
7 13 43 37 13.599
8 14 44 38 10.064
9 15 45 39 10.218
10 16 46 40 11.599
11 17 47 41 11.219
12 18 48 42 15.463
1 7 43 37 14.583
2 8 44 38 12.049
3 9 45 39 8.582
4 10 46 40 11.258
5 11 47 41 13.189
6 12 48 42 13.474
1 10 46 37 11.563
2 11 47 38 12.088
3 12 48 39 10.247
