48# Number of electrodes
# x z
0.000     0.000
1.000     0.000
2.000     0.000
3.000     0.000
4.000     0.000
5.000     0.000
6.000     0.000
7.000     0.000
8.000     0.000
9.000     0.000
10.000     0.000
11.000     0.000
12.000     0.000
13.000     0.000
14.000     0.000
15.000     0.000
16.000     0.000
17.000     0.000
18.000     0.000
19.000     0.000
20.000     0.000
21.000     0.000
22.000     0.000
23.000     0.000
24.000     0.000
25.000     0.000
26.000     0.000
27.000     0.000
28.000     0.000
29.000     0.000
30.000     0.000
31.000     0.000
32.000     0.000
33.000     0.000
34.000     0.000
35.000     0.000
36.000     0.000
37.000     0.000
38.000     0.000
39.000     0.000
40.000     0.000
41.000     0.000
42.000     0.000
43.000     0.000
44.000     0.000
45.000     0.000
46.000     0.000
47.000     0.000
909# Number of data
# a b m n rhoa
8 9 13 12 1709.255
9 10 14 13 2275.826
10 11 15 14 1976.263
11 12 16 15 2468.389
12 13 17 16 2520.846
13 14 18 17 2290.660
14 15 19 18 2282.241
15 16 20 19 2240.088
16 17 21 20 2096.904
17 18 22 21 1763.739
18 19 23 22 1245.172
19 20 24 23 1211.705
20 21 25 24 1096.549
21 22 26 25 989.618
22 23 27 26 1083.492
23 24 28 27 1254.448
24 25 29 28 1133.129
25 26 30 29 1294.387
26 27 31 30 1488.128
27 28 32 31 1523.231
28 29 33 32 1452.228
29 30 34 33 1275.428
30 31 35 34 1187.406
31 32 36 35 826.948
32 33 37 36 809.421
33 34 38 37 707.402
34 35 39 38 521.248
35 36 40 39 649.213
36 37 41 40 557.642
37 38 42 41 562.619
38 39 43 42 555.033
39 40 44 43 790.428
40 41 45 44 689.547
41 42 46 45 802.516
42 43 47 46 1030.815
43 44 48 47 1309.949
1 2 7 6 523.758
2 3 8 7 556.355
3 4 9 8 843.942
4 5 10 9 1255.894
5 6 11 10 1438.578
6 7 12 11 1111.699
7 8 13 12 1027.890
8 9 14 13 1548.021
9 10 15 14 2189.425
10 11 16 15 2368.354
11 12 17 16 2733.807
12 13 18 17 2409.350
13 14 19 18 2193.978
14 15 20 19 2104.280
15 16 21 20 2157.047
16 17 22 21 1940.941
17 18 23 22 1348.573
18 19 24 23 1390.587
19 20 25 24 1270.556
20 21 26 25 1196.894
21 22 27 26 1252.066
22 23 28 27 1157.593
23 24 29 28 1147.208
24 25 30 29 1207.427
25 26 31 30 1251.187
26 27 32 31 1401.180
27 28 33 32 1545.541
28 29 34 33 1109.133
29 30 35 34 1087.177
30 31 36 35 920.655
31 32 37 36 709.328
32 33 38 37 744.931
33 34 39 38 527.575
34 35 40 39 606.956
35 36 41 40 524.222
36 37 42 41 479.755
37 38 43 42 601.761
38 39 44 43 510.373
39 40 45 44 663.320
40 41 46 45 683.520
41 42 47 46 753.439
42 43 48 47 1085.948
1 2 8 7 551.436
2 3 9 8 772.170
3 4 10 9 1040.672
4 5 11 10 1279.340
5 6 12 11 1561.380
6 7 13 12 1005.595
7 8 14 13 884.336
8 9 15 14 1441.096
9 10 16 15 2469.332
10 11 17 16 2458.185
11 12 18 17 2397.506
