51# Number of electrodes
# x z
0.000     0.000
1.500     0.000
3.000     0.000
4.500     0.000
6.000     0.000
7.500     0.000
9.000     0.000
10.500     0.000
12.000     0.000
13.500     0.000
15.000     0.000
16.500     0.000
18.000     0.000
19.500     0.000
21.000     0.000
22.500     0.000
24.000     0.000
25.500     0.000
27.000     0.000
28.500     0.000
30.000     0.000
31.500     0.000
33.000     0.000
34.500     0.000
36.000     0.000
37.500     0.000
39.000     0.000
40.500     0.000
42.000     0.000
43.500     0.000
45.000     0.000
46.500     0.000
48.000     0.000
49.500     0.000
51.000     0.000
52.500     0.000
54.000     0.000
55.500     0.000
57.000     0.000
58.500     0.000
60.000     0.000
61.500     0.000
63.000     0.000
64.500     0.000
66.000     0.000
67.500     0.000
69.000     0.000
70.500     0.000
72.000     0.000
73.500     0.000
75.000     0.000
1011# Number of data
# a b m n rhoa
2 50 18 34 76.209
3 51 19 35 75.937
1 2 4 3 1283.275
2 3 5 4 1802.398
3 4 6 5 1680.761
4 5 7 6 1332.019
5 6 8 7 1762.530
6 7 9 8 1551.858
7 8 10 9 1439.787
8 9 11 10 1659.982
9 10 12 11 1513.070
10 11 13 12 1768.012
11 12 14 13 1688.388
12 13 15 14 1360.386
13 14 16 15 1628.125
14 15 17 16 1719.026
15 16 18 17 1566.409
16 17 19 18 1928.322
17 18 20 19 1191.513
18 19 21 20 1320.319
19 20 22 21 1101.422
20 21 23 22 1260.121
21 22 24 23 1451.538
22 23 25 24 1621.054
23 24 26 25 1258.216
24 25 27 26 1308.680
25 26 28 27 1405.704
26 27 29 28 1451.908
27 28 30 29 1204.154
28 29 31 30 1244.919
29 30 32 31 1157.735
30 31 33 32 998.712
31 32 34 33 1500.922
32 33 35 34 1396.273
33 34 36 35 1449.464
34 35 37 36 1486.632
35 36 38 37 2281.374
36 37 39 38 1554.831
37 38 40 39 1526.762
38 39 41 40 1901.476
39 40 42 41 1784.160
40 41 43 42 1622.335
41 42 44 43 1855.421
42 43 45 44 1147.495
43 44 46 45 1304.694
44 45 47 46 1467.313
45 46 48 47 1122.778
46 47 49 48 1369.800
47 48 50 49 1678.138
48 49 51 50 1400.399
1 2 5 4 836.017
2 3 6 5 1173.199
3 4 7 6 722.565
4 5 8 7 945.949
5 6 9 8 951.179
6 7 10 9 800.852
7 8 11 10 849.014
8 9 12 11 1003.244
9 10 13 12 861.954
10 11 14 13 1029.532
11 12 15 14 968.925
12 13 16 15 873.167
13 14 17 16 1087.400
14 15 18 17 1076.611
15 16 19 18 1144.360
16 17 20 19 882.369
17 18 21 20 815.962
18 19 22 21 982.701
19 20 23 22 646.856
20 21 24 23 782.162
21 22 25 24 1064.096
22 23 26 25 916.302
23 24 27 26 790.422
24 25 28 27 856.321
25 26 29 28 1257.424
26 27 30 29 690.907
27 28 31 30 606.258
28 29 32 31 804.167
29 30 33 32 688.504
30 31 34 33 579.747
31 32 35 34 759.132
32 33 36 35 899.831
33 34 37 36 906.417
34 35 38 37 1222.698
35 36 39 38 1070.001
36 37 40 39 746.523
37 38 41 40 1238.798
38 39 42 41 1041.966
39 40 43 42 789.184
40 41 44 43 1259.913
41 42 45 44 883.763
42 43 46 45 648.131
43 44 47 46 885.278
44 45 48 47 691.075
45 46 49 48 659.116
46 47 50 49 923.799
47 48 51 50 879.720
1 2 6 5 508.918
2 3 7 6 464.985
3 4 8 7 442.450
4 5 9 8 477.481
5 6 10 9 493.478
6 7 11 10 439.590
7 8 12 11 498.382
8 9 13 12 521.433
9 10 14 13 471.632
10 11 15 14 522.594
11 12 16 15 592.500
12 13 17 16 535.892
13 14 18 17 590.269
14 15 19 18 669.552
15 16 20 19 468.279
16 17 21 20 540.827
17 18 22 21 522.476
18 19 23 22 494.637
19 20 24 23 379.639
20 21 25 24 530.403
21 22 26 25 526.232
22 23 27 26 493.562
23 24 28 27 450.932
24 25 29 28 687.467
25 26 30 29 529.204
26 27 31 30 330.113
27 28 32 31 380.034
28 29 33 32 446.394
29 30 34 33 369.057
30 31 35 34 289.246
31 32 36 35 455.110
32 33 37 36 473.501
33 34 38 37 643.025
34 35 39 38 484.272
35 36 40 39 507.357
36 37 41 40 552.164
37 38 42 41 624.003
38 39 43 42 402.570
39 40 44 43 570.892
40 41 45 44 562.453
41 42 46 45 483.655
42 43 47 46 377.626
43 44 48 47 388.095
44 45 49 48 465.512
45 46 50 49 466.093
46 47 51 50 415.199
1 2 7 6 260.742
2 3 8 7 324.527
3 4 9 8 283.765
4 5 10 9 298.262
5 6 11 10 338.350
6 7 12 11 316.377
7 8 13 12 308.232
8 9 14 13 338.063
9 10 15 14 286.866
10 11 16 15 364.830
11 12 17 16 402.680
12 13 18 17 352.721
13 14 19 18 403.222
14 15 20 19 314.168
15 16 21 20 341.166
16 17 22 21 379.779
17 18 23 22 307.574
18 19 24 23 334.595
19 20 25 24 301.680
20 21 26 25 314.718
21 22 27 26 318.701
22 23 28 27 303.190
23 24 29 28 398.461
24 25 30 29 333.869
25 26 31 30 282.574
26 27 32 31 254.217
27 28 33 32 249.563
28 29 34 33 302.507
29 30 35 34 219.711
30 31 36 35 225.545
31 32 37 36 281.822
32 33 38 37 368.224
33 34 39 38 316.656
34 35 40 39 279.750
35 36 41 40 428.571
36 37 42 41 321.293
37 38 43 42 271.818
38 39 44 43 339.000
39 40 45 44 291.484
40 41 46 45 345.880
41 42 47 46 309.382
42 43 48 47 194.203
43 44 49 48 354.315
44 45 50 49 393.803
45 46 51 50 271.526
1 2 8 7 227.981
2 3 9 8 266.242
3 4 10 9 223.445
4 5 11 10 247.225
5 6 12 11 308.033
6 7 13 12 236.228
7 8 14 13 250.306
8 9 15 14 255.218
9 10 16 15 250.184
10 11 17 16 290.639
11 12 18 17 319.057
12 13 19 18 296.425
13 14 20 19 237.949
14 15 21 20 273.842
15 16 22 21 286.945
16 17 23 22 266.714
17 18 24 23 265.427
18 19 25 24 312.740
19 20 26 25 226.318
20 21 27 26 233.892
21 22 28 27 244.158
22 23 29 28 308.300
23 24 30 29 235.617
24 25 31 30 223.086
25 26 32 31 266.110
26 27 33 32 202.231
27 28 34 33 208.634
28 29 35 34 232.665
29 30 36 35 217.653
30 31 37 36 178.366
31 32 38 37 280.186
32 33 39 38 240.103
33 34 40 39 254.789
34 35 41 40 278.071
35 36 42 41 298.790
36 37 43 42 170.069
37 38 44 43 283.986
38 39 45 44 215.136
39 40 46 45 215.159
40 41 47 46 253.090
41 42 48 47 203.092
42 43 49 48 224.880
43 44 50 49 343.553
44 45 51 50 262.511
1 3 9 7 274.347
2 4 10 8 258.933
3 5 11 9 256.883
4 6 12 10 297.756
5 7 13 11 287.993
6 8 14 12 265.571
7 9 15 13 281.899
8 10 16 14 266.282
9 11 17 15 302.363
10 12 18 16 338.340
11 13 19 17 324.451
12 14 20 18 313.651
13 15 21 19 277.000
14 16 22 20 301.305
15 17 23 21 311.666
16 18 24 22 281.707
17 19 25 23 306.718
18 20 26 24 282.258
19 21 27 25 258.789
20 22 28 26 266.806
21 23 29 27 289.273
22 24 30 28 313.105
23 25 31 29 264.346
24 26 32 30 260.980
25 27 33 31 242.134
26 28 34 32 221.350
27 29 35 33 247.460
28 30 36 34 228.165
29 31 37 35 208.300
30 32 38 36 247.219
31 33 39 37 299.777
32 34 40 38 272.769
33 35 41 39 274.973
34 36 42 40 335.831
35 37 43 41 262.117
36 38 44 42 242.014
37 39 45 43 279.932
38 40 46 44 240.890
39 41 47 45 270.560
40 42 48 46 256.808
41 43 49 47 215.600
42 44 50 48 305.109
43 45 51 49 333.552
1 3 11 9 219.081
2 4 12 10 220.393
