48# Number of electrodes
# x z
0.000     0.000
1.000     0.000
2.000     0.000
3.000     0.000
4.000     0.000
5.000     0.000
6.000     0.000
7.000     0.000
8.000     0.000
9.000     0.000
10.000     0.000
11.000     0.000
12.000     0.000
13.000     0.000
14.000     0.000
15.000     0.000
16.000     0.000
17.000     0.000
18.000     0.000
19.000     0.000
20.000     0.000
21.000     0.000
22.000     0.000
23.000     0.000
24.000     0.000
25.000     0.000
26.000     0.000
27.000     0.000
28.000     0.000
29.000     0.000
30.000     0.000
31.000     0.000
32.000     0.000
33.000     0.000
34.000     0.000
35.000     0.000
36.000     0.000
37.000     0.000
38.000     0.000
39.000     0.000
40.000     0.000
41.000     0.000
42.000     0.000
43.000     0.000
44.000     0.000
45.000     0.000
46.000     0.000
47.000     0.000
909# Number of data
# a    b    m    n    rhoa
    35	    41	    37	    39	         415.72
    36	    42	    38	    40	         455.59
    37	    43	    39	    41	         489.50
    38	    44	    40	    42	         481.02
    39	    45	    41	    43	         534.03
    40	    46	    42	    44	         670.72
    41	    47	    43	    45	         716.90
    42	    48	    44	    46	         935.27
     1	    10	     4	     7	         491.36
     2	    11	     5	     8	         499.54
     3	    12	     6	     9	         582.46
     4	    13	     7	    10	         798.91
     5	    14	     8	    11	         974.56
     6	    15	     9	    12	        1147.75
     7	    16	    10	    13	        1100.25
     8	    17	    11	    14	        1024.90
     9	    18	    12	    15	        1035.30
    10	    19	    13	    16	        1145.32
    11	    20	    14	    17	        1194.54
    12	    21	    15	    18	        1242.38
    13	    22	    16	    19	        1194.24
    14	    23	    17	    20	        1129.03
    15	    24	    18	    21	        1075.16
    16	    25	    19	    22	        1021.36
    17	    26	    20	    23	         952.40
    18	    27	    21	    24	         866.29
    19	    28	    22	    25	         778.19
    20	    29	    23	    26	         803.35
    21	    30	    24	    27	         830.76
    22	    31	    25	    28	         844.04
    23	    32	    26	    29	         807.06
    24	    33	    27	    30	         743.81
    25	    34	    28	    31	         685.07
    26	    35	    29	    32	         643.59
    27	    36	    30	    33	         648.54
    28	    37	    31	    34	         633.78
    29	    38	    32	    35	         582.91
    30	    39	    33	    36	         525.86
    31	    40	    34	    37	         477.92
    32	    41	    35	    38	         426.88
    33	    42	    36	    39	         406.13
    34	    43	    37	    40	         419.52
    35	    44	    38	    41	         402.75
    36	    45	    39	    42	         435.96
    37	    46	    40	    43	         467.78
    38	    47	    41	    44	         538.22
    39	    48	    42	    45	         583.43
     1	    13	     5	     9	         447.89
     2	    14	     6	    10	         606.10
     3	    15	     7	    11	         734.63
     4	    16	     8	    12	         845.72
     5	    17	     9	    13	         868.56
     6	    18	    10	    14	         854.22
     7	    19	    11	    15	         798.52
     8	    20	    12	    16	         759.56
     9	    21	    13	    17	         792.59
    10	    22	    14	    18	         877.26
    11	    23	    15	    19	         969.31
    12	    24	    16	    20	         995.62
    13	    25	    17	    21	         948.08
    14	    26	    18	    22	         885.63
    15	    27	    19	    23	         794.64
    16	    28	    20	    24	         751.24
    17	    29	    21	    25	         711.99
    18	    30	    22	    26	         668.27
    19	    31	    23	    27	         713.60
    20	    32	    24	    28	         728.64
    21	    33	    25	    29	         684.48
    22	    34	    26	    30	         662.86
    23	    35	    27	    31	         592.90
    24	    36	    28	    32	         534.86
    25	    37	    29	    33	         525.99
    26	    38	    30	    34	         494.07
    27	    39	    31	    35	         496.03
    28	    40	    32	    36	         475.82
    29	    41	    33	    37	         410.90
    30	    42	    34	    38	         397.54
    31	    43	    35	    39	         362.17
    32	    44	    36	    40	         361.34
    33	    45	    37	    41	         373.41
    34	    46	    38	    42	         372.05
    35	    47	    39	    43	         420.48
    36	    48	    40	    44	         446.51
     1	    16	     6	    11	         530.85
     2	    17	     7	    12	         585.33
     3	    18	     8	    13	         615.60
     4	    19	     9	    14	         621.84
     5	    20	    10	    15	         626.42
     6	    21	    11	    16	         640.60
