48# Number of electrodes
# x z
0.000     0.000
1.000     0.000
2.000     0.000
3.000     0.000
4.000     0.000
5.000     0.000
6.000     0.000
7.000     0.000
8.000     0.000
9.000     0.000
10.000     0.000
11.000     0.000
12.000     0.000
13.000     0.000
14.000     0.000
15.000     0.000
16.000     0.000
17.000     0.000
18.000     0.000
19.000     0.000
20.000     0.000
21.000     0.000
22.000     0.000
23.000     0.000
24.000     0.000
25.000     0.000
26.000     0.000
27.000     0.000
28.000     0.000
29.000     0.000
30.000     0.000
31.000     0.000
32.000     0.000
33.000     0.000
34.000     0.000
35.000     0.000
36.000     0.000
37.000     0.000
38.000     0.000
39.000     0.000
40.000     0.000
41.000     0.000
42.000     0.000
43.000     0.000
44.000     0.000
45.000     0.000
46.000     0.000
47.000     0.000
909# Number of data
# a    b    m    n    rhoa
    26	    35	    29	    32	        5788.57
    27	    36	    30	    33	        5601.13
    28	    37	    31	    34	        5326.71
    29	    38	    32	    35	        1216.04
    30	    39	    33	    36	         463.77
    31	    40	    34	    37	        1234.35
    32	    41	    35	    38	        1444.47
    33	    42	    36	    39	        1624.21
    34	    43	    37	    40	        1455.68
    35	    44	    38	    41	        1443.76
    36	    45	    39	    42	        1347.37
    37	    46	    40	    43	        1555.59
    38	    47	    41	    44	         736.08
    39	    48	    42	    45	        1634.26
     1	    13	     5	     9	     -226574.32
     2	    14	     6	    10	        -171.10
     3	    15	     7	    11	       -1817.99
     4	    16	     8	    12	        6923.46
     5	    17	     9	    13	       47457.52
     6	    18	    10	    14	       -3147.29
     7	    19	    11	    15	        2982.65
     8	    20	    12	    16	       -2413.44
     9	    21	    13	    17	        6951.27
    10	    22	    14	    18	        3120.83
    11	    23	    15	    19	        3848.11
    12	    24	    16	    20	        -129.51
    13	    25	    17	    21	      127371.85
    14	    26	    18	    22	        3587.05
    15	    27	    19	    23	        3138.15
    16	    28	    20	    24	        2877.57
    17	    29	    21	    25	        9982.74
    18	    30	    22	    26	        4238.37
    19	    31	    23	    27	        2929.21
    20	    32	    24	    28	        -656.39
    21	    33	    25	    29	        2073.77
    22	    34	    26	    30	        1898.84
    23	    35	    27	    31	         884.45
    24	    36	    28	    32	        1594.42
    25	    37	    29	    33	        5480.76
    26	    38	    30	    34	        5747.63
    27	    39	    31	    35	        2863.89
    28	    40	    32	    36	        3240.23
    29	    41	    33	    37	        1060.28
    30	    42	    34	    38	        1871.49
    31	    43	    35	    39	         -25.45
    32	    44	    36	    40	         543.69
    33	    45	    37	    41	        1186.25
    34	    46	    38	    42	        -942.82
    35	    47	    39	    43	         344.46
    36	    48	    40	    44	         526.71
     1	    16	     6	    11	       -1384.73
     2	    17	     7	    12	       79119.60
     3	    18	     8	    13	       -3828.90
     4	    19	     9	    14	        1435.77
     5	    20	    10	    15	      -23719.80
     6	    21	    11	    16	        3146.88
     7	    22	    12	    17	        2405.78
     8	    23	    13	    18	       -2930.01
     9	    24	    14	    19	        2079.61
    10	    25	    15	    20	        2243.47
    11	    26	    16	    21	        2655.07
    12	    27	    17	    22	      149882.11
